SAMPLE_NAME,SAMPLE_HEIGHT,OrgC
EA2110_63.2_B,163.2,
EA2110_63.5_A,163.5,
EA2110_63.5_B,163.5,
EA2110_63.8_A,163.8,0.074
EA2110_63.8_B,163.8,
EA2110_64.1_A,164.1,0.095
EA2110_64.1_B,164.1,
EA2110_64.4_A,164.4,0.068
EA2110_64.4_B,164.4,
EA2110_64.7_A,164.7,0.044
EA2110_64.7_B,164.7,
EA2110_65.0_A,165,0.067
EA2110_65.0_B,165,
EA2110_65.3_A,165.3,0.025
EA2110_65.3_B,165.3,
EA2110_65.6_A,165.6,0.056
EA2110_65.6_B,165.6,
EA2110_65.9_A,165.9,0.044
EA2110_65.9_B,165.9,
EA2110_66.2_A,166.2,0.07
EA2110_66.2_B,166.2,
EA2110_66.5_A,166.5,0.055
EA2110_66.5_B,166.5,
EA2110_66.8_A,166.8,0.083
EA2110_66.8_B,166.8,
EA2110_67.1_A,167.1,0.089
EA2110_67.1_B,167.1,
EA2110_67.4_A,167.4,0.07
EA2110_67.4_B,167.4,
EA2110_67.7_A,167.7,0.075
EA2110_67.7_B,167.7,
EA2110_68.0_A,168,0.073
EA2110_68.0_B,168,
EA2110_68.3_A,168.3,0.032
EA2110_68.3_B,168.3,
EA2110_68.6_A,168.6,0.022
EA2110_68.6_B,168.6,
EA2001-0.0,168.8,
EA2110_68.9_A,168.9,0.028
EA2110_68.9_B,168.9,
EA2110_69.2_A,169.2,0.038
EA2110_69.2_B,169.2,
EA2001-0.6a,169.4,
EA2110_69.5_A,169.5,0.082
EA2110_69.5_B,169.5,
EA2110_69.8_A,169.8,0.09
EA2110_69.8_B,169.8,
EA2110_70.1_A,170.1,0.075
EA2110_70.1_B,170.1,
EA2110_70.4_A,170.4,
EA2110_70.4_B,170.4,
EA2110_70.7_A,170.7,0.126
EA2110_70.7_B,170.7,
EA2110_71.0_A,171,0.069
EA2110_71.0_B,171,
EA2110_71.3_A,171.3,0.058
EA2110_71.3_B,171.3,
EA2110_71.6_A,171.6,0.018
EA2110_71.6_B,171.6,
EA2001-2.8a,171.6,
EA2001-3.2,172,
EA2001-3.7a,172.5,
EA2001-3.7b,172.5,
EA2001-3.9a,172.7,
EA2001-3.9b,172.7,
EA2110_73.2_A,173.2,0.034
EA2110_73.2_B,173.2,
EA2001-4.5,173.3,
